price,area,bedrooms,bathrooms,location
Rs 75 Lacs,120 SQYD,4 Beds,2 Baths,"North Karachi - Sector 7-D/2, Karachi•"
Rs 1.25 Crore,"1,700 SQFT",3 Beds,3 Baths,"North Nazimabad - Block L, Karachi•"
Rs 1.35 Crore,"1,100 SQFT",2 Beds,2 Baths,"North Nazimabad - Block K, Karachi•"
Rs 11 Lacs,50 SQFT,0,0,"Murad Memon Goth, Karachi•"
Rs 22 Lacs,450 SQFT,2 Beds,1 Bath,"Allahwala Town - Sector 31-B, Karachi•"
Rs 1.14 Crore,500 SQYD,0,0,"DHA City - Sector 9B, Karachi•"
Rs 4.20 Crore,200 SQYD,6 Beds,3 Baths,"North Nazimabad - Block D, Karachi•"
Rs 75 Lacs,120 SQYD,0,0,"Gulshan-e-Maymar, Karachi•"
Rs 74 Lacs,950 SQFT,2 Beds,2 Baths,"Bahria Apartments, Karachi•"
Rs 1.55 Crore,160 SQYD,5 Beds,3 Baths,"Saima Arabian Villas, Karachi•"
Rs 5 Crore,240 SQYD,6 Beds,5 Baths,"North Nazimabad - Block N, Karachi•"
Rs 77 Lacs,850 SQFT,4 Beds,2 Baths,"North Karachi - Sector 11A, Karachi•"
Rs 67 Lacs,900 SQFT,4 Beds,2 Baths,"North Karachi - Sector 5-K, Karachi•"
Rs 55 Lacs,599 SQFT,3 Beds,2 Baths,"North Karachi - Sector 11A, Karachi•"
Rs 38.50 Lacs,80 SQYD,0,0,"North Town Residency, Karachi•"
Rs 1.85 Crore,140 SQYD,5 Beds,5 Baths,"Model Colony - Malir, Karachi•"
Rs 1.05 Crore,120 SQYD,2 Beds,2 Baths,"Alize Garden, Karachi•"
Rs 65 Lacs,"1,000 SQFT",2 Beds,2 Baths,"Gulistan-e-Jauhar Block 18, Karachi•"
Rs 61 Lacs,80 SQYD,0,0,"North Town Residency, Karachi•"
Rs 1 Crore,120 SQYD,2 Beds,4 Baths,"Saima Green Valley, Karachi•"
Rs 60 Lacs,120 SQYD,0,0,"Surjani Town - Sector 4D, Karachi•"
Rs 52 Lacs,75 SQYD,2 Beds,1 Bath,"Surjani Town - Sector 4D, Karachi•"
Rs 47 Lacs,65 SQYD,2 Beds,2 Baths,"Surjani Town - Sector 4D, Karachi•"
Rs 75 Lacs,120 SQYD,2 Beds,3 Baths,"Surjani Town - Sector 4D, Karachi•"
Rs 95 Lacs,500 SQFT,0,0,"North Karachi - Sector 11B, Karachi•"
Rs 1.65 Crore,152 SQYD,3 Beds,3 Baths,"Bahria Homes - Iqbal Villas, Karachi•"
Rs 1.50 Crore,184 SQFT,0,0,"Gulistan-e-Jauhar Block 15, Karachi•"
Rs 1.45 Crore,"1,200 SQFT",2 Beds,2 Baths,"North Nazimabad - Block K, Karachi•"
Rs 65 Lacs,200 SQYD,0,0,"Falaknaz Dreams, Karachi•"
Rs 1.60 Crore,"1,200 SQFT",2 Beds,3 Baths,"Jinnah Avenue, Karachi•"
Rs 70 Lacs,700 SQFT,2 Beds,2 Baths,"Gulshan-e-Maymar - Sector R, Karachi•"
Rs 37 Lacs,120 SQYD,0,0,"North Town Residency, Karachi•"
Rs 2.80 Crore,"1,440 SQFT",4 Beds,3 Baths,"Saima Elite Villas, Karachi•"
Rs 12.25 Crore,"3,707 SQFT",Studio,1 Bath,"Emaar Pearl Towers, Karachi•"
Rs 3.70 Crore,288 SQYD,6 Beds,6 Baths,"North Karachi, Karachi•"
Rs 55 Lacs,240 SQYD,2 Beds,2 Baths,"North Karachi - Sector 11A, Karachi•"
Rs 2.75 Crore,160 SQYD,4 Beds,7 Baths,"North Karachi - Sector 8, Karachi•"
Rs 1.90 Crore,120 SQYD,4 Beds,6 Baths,"North Karachi - Sector 8, Karachi•"
Rs 1.65 Crore,120 SQYD,4 Beds,4 Baths,"North Karachi, Karachi•"
Rs 46 Lacs,120 SQYD,0,0,"North Town Residency, Karachi•"
Rs 70 Lacs,120 SQYD,0,0,"North Town Residency, Karachi•"
Rs 46 Lacs,80 SQYD,0,0,"North Town Residency, Karachi•"
Rs 60 Lacs,120 SQYD,0,0,"North Town Residency, Karachi•"
Rs 85 Lacs,160 SQYD,0,0,"North Town Residency, Karachi•"
Rs 46 Lacs,80 SQYD,0,0,"North Town Residency, Karachi•"
Rs 46 Lacs,80 SQYD,0,0,"North Town Residency, Karachi•"
Rs 52 Lacs,120 SQYD,0,0,"North Town Residency, Karachi•"
Rs 46 Lacs,80 SQYD,0,0,"North Town Residency, Karachi•"
Rs 58 Lacs,700 SQFT,2 Beds,2 Baths,"North Karachi, Karachi•"
Rs 1.10 Crore,"1,600 SQFT",3 Beds,3 Baths,"North Nazimabad - Block H, Karachi•"
Rs 1.10 Crore,120 SQYD,2 Beds,2 Baths,"Saima Villas, Karachi•"
Rs 7.20 Lac,60 SQFT,0,0,"Saima Arabian Villas, Karachi•"
Rs 7.20 Lac,60 SQFT,0,0,"North Karachi, Karachi•"
Rs 58 Lacs,955 SQFT,2 Beds,2 Baths,"Bahria Apartments, Karachi•"
Rs 1.25 Crore,120 SQYD,0,0,"Punjabi Saudagar Society Phase 2, Karachi•"
Rs 1.50 Crore,"1,200 SQFT",2 Beds,2 Baths,"Capital Cooperative Housing Society, Karachi•"
Rs 12 Crore,400 SQYD,Studio,2 Baths,"North Nazimabad - Block H, Karachi•"
Rs 68 Lacs,750 SQFT,2 Beds,2 Baths,"Gulistan-e-Jauhar Block 14, Karachi•"
Rs 58 Lacs,80 SQYD,0,0,"North Town Residency, Karachi•"
Rs 1.25 Crore,130 SQYD,2 Beds,3 Baths,"North Town Residency, Karachi•"
Rs 55 Lacs,80 SQYD,0,0,"North Town Residency, Karachi•"
