price,area_sqft,bedrooms,bathrooms,location_final
2500000,540,2,2,Allahwala Town
12000000,1080,4,4,Scheme 33
16000000,1080,3,2,Nazimabad
450000,720,3,3,Other
20400000,2430,3,4,North Nazimabad
34000000,850,1,1,Other
3300000,1080,3,3,Other
2200000,1080,3,3,Scheme 33
5000000,1080,3,3,Other
3500000,1080,3,3,Scheme 33
15000000,1530,3,3,Gulshan
3500000,1080,3,3,Other
34000000,1800,3,3,DHA
170000000,9000,4,4,DHA
44500000,2340,3,3,Other
45000000,2160,5,6,Gwalior Cooperative Housing Society
1200000,1000,3,3,Gadap Town
1200000,1000,1,1,Gadap Town
1000000,1000,1,1,Gadap Town
8500000,720,6,4,North
29800000,1600,3,3,Other
9500000,850,2,2,North Nazimabad
2150000,1125,3,3,DHA
2000000,9000,1,1,Gadap Town
7000000,700,2,2,Other
13000000,1250,2,2,Other
6500000,540,5,4,Other
3950000,320,2,1,Other
18000000,1440,2,2,Gulshan
43000000,2700,3,4,Other
75000000,3375,6,7,Other
5800000,75,3,2,Other
5800000,675,2,2,Other
12500000,1296,4,4,Other
45000000,1080,3,3,Other
2650000,1125,3,3,Bahria Town
1480000,450,2,1,Allahwala Town
25000000,2200,4,5,Other
12000000,2160,3,3,Other
37500000,1800,4,4,PECHS
16500000,850,2,2,Other
45000000,1700,3,3,PECHS
35000000,1450,3,3,PECHS
9000000,400,3,3,PECHS
45000000,1800,3,3,Other
42500000,1800,3,3,Other
21000000,950,2,2,Other
22500000,1050,2,2,Other
43400000,2000,4,4,Other
35000000,1650,3,3,PECHS
19000000,1500,3,3,Other
15000000,1100,2,2,Other
50000000,2000,3,4,Other
31000000,1500,3,3,Other
18500000,1700,3,4,Other
720000,60,3,3,Surjani Town
1200000,1080,3,3,Gulshan
11000000,540,3,3,DHA
27500000,1800,4,5,Bahria Town
18000000,1800,3,3,Other
42500000,2160,6,7,Gulshan
60000000,2500,4,5,Other
18000000,1100,2,2,Other
45000000,2700,4,4,PECHS
45000000,1700,3,3,Other
29000000,1100,2,2,Other
13500000,9000,4,4,Other
12500000,2700,3,3,Other
10000000,5400,3,4,Other
12000000,1908,3,3,Other
28500000,3600,3,4,Other
13500000,5400,3,4,Gulshan
37500000,1800,3,3,Garden
45500000,3798,3,4,Capital Cooperative Housing Society
17800000,2610,3,3,Other
28500000,405,3,3,Gulshan
46900000,2160,6,6,Capital Cooperative Housing Society
145000000,4950,6,6,Malir
8200000,1080,3,3,Other
19500000,1080,4,6,Other
12000000,360,3,3,Other
62500000,4500,3,4,DHA
10500000,950,2,2,Other
67500000,8640,4,4,Other
28500000,2160,3,3,Other
11399999,5400,3,4,Gulshan
59500000,5400,4,4,Other
5500000,1350,3,3,Gulshan
4000000,1800,3,3,Gulshan
2400000,1800,3,3,Gulshan
6200000,2700,3,3,Gulshan
5000000,1800,3,3,Gulshan
5000000,1800,3,3,Gulshan
5200000,1800,3,3,Gulshan
65000000,1080,3,3,Gulshan
82500000,3375,5,6,Other
12500000,1080,3,3,Other
12700000,1200,2,2,Other
43400000,2448,5,6,Bahria Town
145000000,4500,6,7,DHA
3100000,550,2,2,Other
5500000,756,6,1,Surjani Town
5500000,1800,3,3,Gulshan
90000000,3600,6,7,North Nazimabad
15600000,720,4,4,North
14300000,990,4,4,North
110000000,1800,4,4,PECHS
75000000,1350,4,5,DHA
71000000,1080,4,5,DHA
21000000,1450,3,3,Other
70000000,1800,4,4,DHA
110000000,1800,4,5,PECHS
22500000,360,3,3,Gulshan
22900000,1455,3,3,Other
42000000,1125,6,6,Gulshan
22500000,1450,3,3,Other
6500000,700,2,2,Gulshan
26500000,2448,5,5,Bahria Town
46500000,1800,6,7,North Nazimabad
165000000,3150,5,5,Other
1000000,50,3,3,North Town Residency
33000000,2160,3,3,Gulshan
96000000,2700,5,6,DHA
6500000,180,3,3,Gulshan
8000000,220,3,3,Gulshan
31000000,1600,4,5,Gulshan
5500000,700,2,2,Gulshan
19000000,1250,3,3,Gulshan
9000000,850,2,3,Capital Cooperative Housing Society
16000000,1850,3,4,Gulshan
11399999,1080,2,2,Gulshan
12000000,1400,3,3,Gulshan
29000000,1080,6,6,Gulshan
13000000,1200,2,2,Gulshan
55000000,1500,3,3,Other
11000000,750,2,2,Other
13500000,1200,3,2,Other
1000000,50,3,3,Surjani Town
2500000,650,2,2,Surjani Town
130000000,3600,6,6,Gulshan
15600000,747,6,6,North
2100000,80,3,3,Gadap Town
2100000,80,3,3,Saima Arabian Villas
2100000,80,3,3,Surjani Town
2100000,80,3,3,North
2100000,80,3,3,North Town Residency
720000,60,3,3,Gadap Town
600000,50,3,3,Gadap Town
600000,50,3,3,Saima Arabian Villas
600000,50,3,3,North
600000,50,3,3,Surjani Town
13200000,2115,3,3,Bahria Town
1000000,50,3,3,Saima Arabian Villas
6600000,2160,3,3,Other
27000000,1080,4,7,Other
12800000,1125,3,3,Bahria Town
16500000,1080,4,4,North
900000,50,3,3,Saima Arabian Villas
900000,50,3,3,Surjani Town
900000,50,3,3,North
21000000,1080,6,7,Other
28500000,900,4,5,Model Colony
6000000,666,2,2,Airport Road
22000000,1107,6,7,Model Colony
19000000,1080,4,5,Gulshan
35000000,1188,4,4,Model Colony
22900000,1260,2,3,Model Colony
52500000,2200,3,3,Other
6500000,1080,3,3,Malir
18500000,1350,2,3,Other
77500000,4500,3,4,DHA
12000000,1080,4,4,Other
9500000,648,2,3,Model Colony
16000000,1080,4,7,Falaknaz Dreams
27500000,1800,6,7,Model Colony
36000000,1935,6,7,Airport Road
16000000,900,6,7,Model Colony
17000000,1080,6,5,Other
18500000,720,2,4,Model Colony
26000000,1080,4,5,Model Colony
15000000,720,4,5,Model Colony
33000000,1935,6,7,Airport Road
7500000,1080,1,1,Other
19000000,1080,6,6,Other
7800000,900,2,2,Other
6500000,900,2,2,Other
31000000,1080,4,4,North
3500000,1125,3,3,Bahria Town
11000000,990,3,3,Airport Road
15000000,1143,2,3,Model Colony
16000000,1620,3,4,Airport Road
10000000,990,2,2,Model Colony
600000,2200,3,3,DHA
12000000,720,2,2,Model Colony
9000000,1080,3,3,Airport Road
24000000,1080,6,6,Model Colony
33000000,1080,6,7,Model Colony
26500000,1197,4,5,Model Colony
12000000,900,2,2,Airport Road
4000000,450,1,1,Other
32500000,1080,6,7,Model Colony
45000000,2160,6,7,Other
55800000,2160,6,6,Gulistan
62500000,1620,6,7,Gulshan
3000000,650,2,2,Surjani Town
13600000,2115,3,3,Bahria Town
17500000,1080,4,4,Airport Road
81500000,3600,6,7,Airport Road
33000000,1197,6,7,Airport Road
32500000,1080,4,4,Model Colony
8500000,900,2,2,Other
45000000,2160,6,7,Airport Road
14000000,1080,2,3,Airport Road
10000000,1629,2,3,Other
9000000,900,2,3,Other
32500000,5400,3,4,Other
25000000,2160,3,3,Meerut Society
39000000,5400,3,4,Meerut Society
32500000,5400,3,4,Other
12500000,1800,3,3,Garden
44500000,5697,4,4,Meerut Society
10500000,1125,3,3,Bahria Town
12500000,4500,3,4,DHA
16000000,1200,2,3,Other
8500000,900,1,1,Allahwala Town
39500000,5400,3,4,Meerut Society
41500000,5400,3,4,Meerut Society
26500000,2007,3,3,Meerut Society
15500000,3600,3,4,Garden
21000000,1800,3,3,Other
7500000,1050,2,2,Scheme 33
23500000,5400,3,4,Other
33000000,4230,3,4,Meerut Society
19500000,3600,3,4,Other
26500000,2160,3,3,Meerut Society
15500000,3600,3,4,Garden
39500000,5400,3,4,Other
29500000,3600,3,4,Meerut Society
40900000,5400,3,4,Meerut Society
58000000,2700,5,6,Other
29500000,5400,3,4,Meerut Society
13500000,1800,3,3,Garden
49500000,2160,6,6,Meerut Society
130000000,4500,6,5,DHA
25000000,2100,4,4,DHA
25000000,386,3,3,DHA
5500000,1600,3,3,DHA
9000000,900,1,1,DHA
3500000,550,3,3,DHA
12000000,900,1,1,DHA
17000000,1000,3,3,DHA
175000000,1800,3,4,DHA
30000000,900,3,3,DHA
32000000,2000,3,4,North Nazimabad
28000000,2160,3,3,Korangi
11200000,1125,3,3,Bahria Town
95000000,520,3,3,Other
13500000,1250,2,2,North Nazimabad
38500000,1800,3,4,North Nazimabad
22900000,1650,3,4,Scheme 33
17300000,1250,2,3,Scheme 33
48000000,2000,3,4,North Nazimabad
9500000,700,2,2,Nazimabad
49000000,2200,3,4,North Nazimabad
31000000,1600,3,3,North Nazimabad
37000000,1800,3,3,Other
21000000,750,2,2,North Nazimabad
47500000,2000,3,4,North Nazimabad
52500000,3334,4,4,Other
48000000,2200,3,4,North Nazimabad
47500000,2200,3,4,North Nazimabad
